timestamp_utc,dns_ms,tcp_ms,tls_ms,ttfb_ms,total_ms,http_code,speed_bps,size_bytes
2026-05-13T21:14:33Z,.887000,14.208000,61.197000,106.689000,106.746000,502,140,15
2026-05-13T21:14:35Z,.983000,12.845000,62.537000,104.656000,104.706000,502,143,15
2026-05-13T21:14:37Z,3.768000,15.121000,85.364000,125.968000,126.140000,502,118,15
2026-05-13T21:14:40Z,2.777000,14.667000,78.224000,123.269000,123.377000,502,121,15
2026-05-13T21:14:42Z,.831000,14.699000,61.057000,98.986000,99.034000,502,151,15
2026-05-13T21:14:44Z,.933000,14.707000,64.051000,110.422000,110.457000,502,135,15
2026-05-13T21:14:46Z,.945000,13.386000,67.734000,115.006000,115.131000,502,130,15
2026-05-13T21:14:48Z,.973000,15.611000,79.905000,120.176000,120.307000,502,124,15
2026-05-13T21:14:50Z,1.199000,13.296000,65.471000,104.424000,104.468000,502,143,15
2026-05-13T21:14:52Z,2.499000,16.648000,65.740000,115.650000,115.720000,502,129,15
